start_time	robot_id	from_position_id	to_position_id	measured_gps_x	measured_gps_y	real_gps_x	real_gps_y	measured_orientation	real_orientation	measured_lidar_distance	measured_radar_distance	real_distance	measured_temperature	real_temperature	decided_action	action_successful	holding_item_id	cardinality
2	5	765	766	27	16	25	15	Up	Up	4	4	0	68.96057	68.94397	StepForward	True		
2	0	845	845	28	5	28	5	Right	Right	1	1	0	72.72619	72.88722	TurnRight	True		
2	9	430	431	14	10	14	10	Up	Up			0	81.74857	81.75873	StepForward	True		
2	4	276	306	10	6	9	6	Right	Right	2	2	0	50.027145	50.193245	StepForward	True		
2	14	192	193	5	12	6	12	Up	Up	3	3	0	32.168278	31.974318	StepForward	True		
2	12	654	655	21	24	21	24	Up	Up	4	4	0	65.956726	65.95672	StepForward	True		
2	1	808	838	26	28	26	28	Right	Right	3	3	0	66.703026	66.90781	StepForward	True		
2	17	157	157	6	7	5	7	Up	Up			0	91.28016	91.45356	DoNothing	True		2
2	25	546	547	18	6	18	6	Up	Up			0	18.528128	18.359375	StepForward	True		
2	29	529	529	17	19	17	19	Right	Right	1	1	0	67.459694	67.86048	TurnLeft	True		
2	27	36	36	1	6	1	6	Up	Up	4	4	0	95.02179	94.903114	DoNothing	True		1
2	13	410	410	13	20	13	20	Down	Down	1	1	0	73.54136	73.94283	TurnRight	True		
2	6	298	298	9	28	9	28	Up	Up	2	1	0	56.173306	56.486076	TurnLeft	True		
2	26	225	226	7	15	7	15	Up	Up	6	6	0	61.660164	61.90294	StepForward	True		
2	21	304	304	11	4	10	4	Left	Up	2	2	0	111.04048	110.352036	DoNothing	True		3
2	24	170	171	5	19	5	20	Up	Up	2	2	0	72.263016	72.15959	StepForward	True		
2	23	411	411	13	21	13	21	Down	Down	1	1	0	46.6605	46.399536	TurnRight	True		
2	10	658	628	21	28	21	28	Left	Left		6	0	104.50792	107.346245	StepForward	True		
2	2	104	104	3	14	3	14	Up	Up	3	3	0	78.64016	78.52998	DoNothing	True		1
2	8	418	418	13	28	13	28	Right	Right	1	1	0	100.03856	99.4672	TurnLeft	True		
2	11	406	406	13	16	13	16	Up	Up	3	3	0	85.24878	85.100555	DoNothing	True		5
2	19	147	117	4	27	4	27	Left	Left	4	4	0	44.64756	44.155556	StepForward	True		
2	20	126	127	4	6	4	6	Up	Up			0	42.537216	42.175472	StepForward	True		
3	27	36	36	1	5	1	6	Up	Up	4	5	0	94.64106	94.903114	DoNothing	True		1
3	17	157	158	5	7	5	7	Up	Up			0	91.10559	91.45356	StepForward	True		
3	7	336	336	11	6	11	6	Up	Up	1	1	0	91.21072	91.03297	GraspAnItem	True		
3	1	838	868	28	28	27	28	Right	Right	2	2	0	56.9074	56.66818	StepForward	True		
3	18	756	726	25	6	25	6	Left	Left			0	76.12885	76.4382	StepForward	True		
3	14	193	194	6	13	6	13	Up	Up	2	2	0	76.69176	76.85292	StepForward	True		
3	6	298	268	9	28	9	28	Left	Left	7	8	0	56.33511	56.486076	StepForward	True		
3	8	418	418	11	28	13	28	Up	Up	1	1	0	99.52683	99.4672	TurnRight	True		
3	4	306	306	10	6	10	6	Right	Right	1	1	0	48.579094	48.814117	TurnLeft	True		
3	5	766	767	25	16	25	16	Up	Up	3	3	0	53.065712	52.91295	StepForward	True		
3	0	845	844	28	5	28	5	Down	Down	5	5	0	73.05877	72.88722	StepForward	True		
3	16	745	746	24	25	24	25	Up	Up	4	5	0	66.16007	66.13014	StepForward	True		
3	15	829	859	27	19	27	19	Right	Right	2	2	0	88.14377	88.166916	StepForward	True		
3	25	547	548	18	8	18	7	Up	Up	10	10	0	19.442953	19.139618	StepForward	True		
3	23	411	411	14	21	13	21	Left	Left	5	6	0	46.47349	46.399536	DoNothing	True		6
3	2	104	104	2	14	3	14	Up	Up	3	3	0	78.673546	78.52998	DoNothing	True		1
3	26	226	227	6	16	7	16	Up	Up	5	5	0	39.403267	39.263237	StepForward	True		
3	10	628	628	20	28	20	28	Left	Left	5	5	0	81.87702	81.80008	DoNothing	True		7
3	22	428	428	14	8	14	8	Up	Up	3	3	0	106.369286	105.2553	DoNothing	True		4
3	29	529	530	17	19	17	19	Up	Up	5	5	0	67.91366	67.86048	StepForward	True		
3	20	127	128	5	7	4	7	Up	Up			0	79.651596	79.89789	StepForward	True		
3	19	117	87	3	27	3	27	Left	Left	3	3	0	29.840057	29.69896	StepForward	True		
3	11	406	406	13	16	13	16	Up	Up	2	3	0	84.76498	85.100555	DoNothing	True		5
3	24	171	171	5	21	5	21	Up	Up	1	1	0	53.7787	53.23755	TurnLeft	True		
3	9	431	432	14	12	14	11	Up	Up			0	28.644745	28.745583	StepForward	True		
3	21	304	304	12	4	10	4	Up	Up	2	2	0	110.39465	110.352036	DoNothing	True		3
3	3	822	852	27	13	27	12	Right	Right	2	2	0	66.03257	66.00807	StepForward	True		
3	28	153	153	5	3	5	3	Up	Up	1	1	0	36.515575	36.608643	TurnRight	True		
3	12	655	656	21	25	21	25	Up	Up	4	4	0	32.50168	33.061394	StepForward	True		
3	13	410	410	13	20	13	20	Left	Left	1	2	0	73.97805	73.94283	GraspAnItem	True		
4	2	104	104	3	14	3	14	Up	Up	3	3	0	78.117355	78.52998	DoNothing	True		1
4	18	726	696	23	6	24	6	Left	Left			0	93.86901	93.92595	StepForward	True		
4	8	418	418	14	29	13	28	Right	Right	1	1	0	99.31608	99.4672	TurnRight	True		
4	7	336	337	11	6	11	6	Up	Up	9	9	0	91.40711	91.03297	StepForward	True		
